tree_species_uuid,taxon_id,name
be3171aa-bce4-4363-8ce7-a6351b24b786,wfo-0000607909,Citrus x aurantium
6a1a7d71-5db9-42b9-8091-afa27223863f,wfo-0000607909,Citrus x aurantium
b4a4b6ca-3d95-4ff4-ad11-1a78df33bbe7,wfo-0000607909,Citrus x aurantium
3935a41f-4158-4f8c-9903-7d3e6eb42e38,wfo-0000607909,Citrus x aurantium
d08e6a21-af75-45af-961b-7c38e0f1980b,wfo-0000607909,Citrus x aurantium
e01db8e6-f270-4c5f-9bf2-f09618240d4c,wfo-0000607909,Citrus x aurantium
a2d06cb6-3575-4c05-b149-5592e68fbb0e,wfo-0000474656,Musa x paradisiaca
a15001ec-5376-4a58-a3fb-fd093f42ad66,wfo-0001336820,Vachellia abyssinica
1d82b8c9-2c48-477f-b9ff-c38cf61c6e85,wfo-0000745787,Senegalia mellifera
84562289-3bfa-4b41-b366-85f4f781168f,wfo-0000745787,Senegalia mellifera
20d2fc9a-3e23-4f71-a7ea-4c3ff60f5fed,wfo-0000744649,Senegalia polyacantha
68b97793-f451-4ad3-a9d9-1f42cc792128,wfo-0000213734,Brachystegia eurycoma
4337b922-a2f9-4070-b24c-54fadbfbbb9f,wfo-0000360256,Lannea welwitschii
42e24cb2-131c-4fb0-945e-5db657eb3c44,wfo-0000360256,Lannea welwitschii
8e8642e6-25c1-462b-b4c1-70dfc3d01b92,wfo-0000519672,Adansonia digitata
a1a44fcb-18be-4fa5-8945-5b00e60a44c1,wfo-0000519672,Adansonia digitata
d0d5e1fe-b884-4d5e-9519-21a6a9197345,wfo-0000485622,Podocarpus latifolius
459cf99a-500d-4ac2-9ced-3330a8297cfa,wfo-0000179906,Albizia coriaria
4b2dcf45-2a41-44b1-8f38-0a1ed630c57a,wfo-0000179906,Albizia coriaria
435dffc4-1b40-4b5f-9ded-98057cf17420,wfo-0000179906,Albizia coriaria
1f0c97d8-b205-469f-9c5f-f653f0f4d45f,wfo-4000001104,Albizia
8cb83bb3-7f17-483d-8ba1-2778de4b6758,wfo-4000001104,Albizia
48f665b4-fbba-4062-80c5-886fbcf9769b,wfo-4000001104,Albizia
00e92c91-bf97-4936-9e86-d86eb50d76e1,wfo-0000944034,Alnus acuminata
b9e2def9-a663-4877-a0c3-a4907a8cf9b5,wfo-0000533072,Anacardium occidentale
a15d96a9-c12f-4b64-abaa-ed42ef45bd90,wfo-0000533072,Anacardium occidentale
09ada36d-bcda-46ef-9da5-943eef8c0303,wfo-0000533072,Anacardium occidentale
1bddb11a-4edd-4eca-b1d7-45ddae696b36,wfo-4000003773,Avicennia
d71b8698-06b5-413c-af1a-bfdccc9d0bf8,wfo-4000003773,Avicennia
7e058bc4-6483-4e6c-affa-f2c5e2e0345a,wfo-0000465160,Persea americana
69dbcfaa-30be-4846-bd8f-a416d906f51a,wfo-0000557668,Azadirachta indica
dadb9cad-9a9e-42b5-938c-6dea9974139b,wfo-4000004002,Bambusa
0bca7998-7d32-41c5-b1d4-58182b9214af,wfo-0001336675,Oldeania alpina
