uuid,planting_status
f449aef3-4453-42c9-b542-57acc7c2e5eb,completed
9c7ae695-30e3-4629-953b-7c0f894172c3,no-restoration-expected
47f07709-b503-4eeb-98fa-aea62e979ca8,in-progress
cbe97cc6-8469-487a-af4a-056d52215742,completed
f9dc4f5a-503b-45e5-baf0-0162f7bdb891,completed
da7fab67-92c7-4703-b2e0-d20c9cadcdde,completed
fdde47ac-770e-4b7b-861b-9e4520ba906c,completed
174cb80b-d4df-45f7-9f96-9fc5788b217a,in-progress
389aad5b-6577-4cea-bf9f-446dcfd94966,completed
802bb88c-5eb5-4ce2-836f-19bc8e0ddfc4,completed
47118e50-d4d1-4ba0-8094-59cfa441dbb0,completed
684fb6a6-db3c-403a-8bb5-1b90c4234ace,completed
62043c88-f03d-475e-ac9c-2f057536e2a8,replacement-planting
d6481438-9603-4c68-b152-6586ed825b0a,in-progress
cf16b937-a02b-4691-b816-28669ec348f2,completed
44c352fb-0581-4b97-92d7-6cbe459e13d0,completed
f4b92387-705a-40bf-a7bb-e84f942de1ec,completed
36504a4e-f7a3-4963-9ff2-9aa9982cf990,completed
cf106374-3dd4-401d-80ba-25b70247381a,completed
9019106b-6e2d-4deb-97a5-2889f976a931,completed
2e2130be-7da7-4898-a9da-98ebb908cc96,completed
3a860077-df4c-4e95-8fec-41520c551243,completed
0733b059-5538-4fd8-8c9a-7adb78aea248,completed
bad12444-7180-4b29-a14c-d2b4305b7f52,completed
8a112e82-e191-44ad-b306-2578c064104b,completed
01918b25-6544-4027-82aa-6703c7c04784,completed
a44be1df-b79a-4f1b-9689-b6a768b12b60,in-progress
449adf55-f6f8-4f17-97d3-ab6f6bf6676d,completed
5fb3f47f-c209-4752-adc6-dea2c0de02de,completed
ff8f0b17-adc1-4885-a21b-0dd2b699bfc1,in-progress
814fc561-d635-423d-ab9d-30ce02a81172,in-progress
1e207d56-d0ed-4b4f-b1d9-94aa8aafb71f,completed
abdb9d09-7c55-4e26-8961-1aa26e991bbc,completed
f6ad3f9f-122b-4927-8c0c-de5576054f15,in-progress
76374ef9-c5df-4d62-a28b-92b100b95581,replacement-planting
8cbda7fc-aa17-444b-8425-7047fade708c,completed
53f9f5a6-9346-436c-87bb-b5cc86d978c0,completed
33274073-8a4e-4eca-8b97-0e8da3833105,completed
bbd88e69-cd85-429e-bebf-6234bf82dbb3,replacement-planting
35f4ee57-1f01-4e69-91be-d927aa5c0c89,in-progress
12aefea5-2ec9-4181-93c3-2c739f7c8d64,completed
33ee81da-5421-410e-a642-37fc3b0cb935,completed
89de16d6-2e95-4588-a635-03595077f479,no-restoration-expected
aa0f8df7-b668-48f0-a8ce-bf5558f2a9d6,completed
d8210ae4-2c85-4094-b0f3-0e0cda687aa9,completed
2cfc8e4d-32cc-438b-ba3a-c224a90709d0,in-progress
d6240881-891e-41f0-a5b6-eb1410447edd,completed
3418f474-5d5d-422f-a12b-459040034223,completed
caf78b0a-d80a-482e-9c62-842302109a90,completed
c3d2858f-aa3d-458e-8e88-5a7f376e6ef4,completed
243f93d2-0d4b-4dac-8b23-997e6528dc8e,completed
d5e0a4ff-8601-45d0-9020-8c104e5ea508,replacement-planting
4a853e6a-dba4-442a-b528-09702250244f,completed
1bbf9901-b62e-47b6-94fd-6dee329bf8c5,no-restoration-expected
5b02c3a0-0f64-4506-8cc5-719dfa8c1641,completed
c4eade71-6f42-4e45-8649-ffa251f2caed,in-progress
4124a403-45ca-4e48-be6f-6c15b3b48617,in-progress
6d4d7217-175b-4d0c-927d-7596381ddc55,completed
bcde8454-bdd2-4b62-95b9-b572e8c5c460,completed
a8940698-ff28-456c-b8cd-f7289e612913,replacement-planting
5b6a5e11-03ae-4adc-b4ef-9bf4239aa705,completed
652ba56f-2e75-4735-a0d1-aafebbd940c1,completed
57589518-68da-40e0-b211-bf6d64eccca7,completed
ed1cadff-e20f-43a7-8627-aee10f48cc7a,in-progress
2d3717a6-293d-4b1b-a01c-d31a68560fd1,completed
5b82defe-b433-4eb0-b95c-09cd23a0f17d,completed
246a0906-7e03-4b57-bf71-b697b333509f,in-progress
128c2ac7-dd30-4093-a079-6e9111aa3351,completed
529e1bae-2187-473f-a2a3-17e577720aba,completed
719bc145-df07-412f-a93a-3cf360ea6ed9,completed
476273a3-d0b3-4f89-be10-9703f038d0c0,completed
9100baf3-9ac4-4db5-85a7-bc12b236a370,completed
d77299ed-aa38-4aa4-9c1f-2063da78dc77,completed
5b7983b3-e887-44da-8d66-0ee747379214,in-progress
e4fe2fa4-6869-4c1e-9347-ba9b135306f5,completed
6af68b37-d2bc-4020-aaab-77a42cc25fd4,completed
47673f46-0af9-4047-afc7-b4f4fefaa5e7,in-progress
24fc33cb-53ad-4383-82ca-f6e2ac3fd143,in-progress
90d13b5d-efb6-40b5-8f25-777f69e18d5e,in-progress
292bbbda-ec32-40e2-a127-3670a052423d,completed
b7f26543-0ddb-4d10-a215-abfc093b0ed0,completed
d280f307-d638-4502-aa64-ebc6b3989da6,no-restoration-expected
23fb0b35-2519-48c6-bf97-ce0fae418d53,no-restoration-expected
39871658-bff0-49c2-aa20-ccac0b03a2c2,completed
2f4b5b55-49e2-4cec-a40a-521c5c142c91,completed
d1f355a2-3e0f-4ffd-bb2f-eec104bf8442,completed
f6075e7c-1d31-4bee-ba64-154cd664f7a1,completed
18a6e7f3-39c7-4e28-812b-65d049d5c9de,in-progress
