UUID;projectUuid;investmentDate;type
617601e0-9839-49fd-b48e-6c07404e7140;313;1/4/2025;Debt
c462918b-47f7-4ed5-99e0-7fec6e342036;389;2/6/2025;Debt
fd1c50d3-1bd9-454a-bd81-8493b9ab2e84;474;1/7/2025;Debt
