TM Project UUID,Project Code,Organization Name (from Full RFP Vetting) (from Project Code),Project Name (from Full RFP Vetting) (from Project Code)
36504a4e-f7a3-4963-9ff2-9aa9982cf990,RWA_22_BIRDLIFE,Birdlife International - Kenya,"Enhancing Community Capacity for Climate Resilience and Restoration in the Lake Kivu/Rusizi River Basin, Rwanda � Birdlife"
f81c1422-025c-45b1-a2e1-d354177523ca,RWA_22_ICRAF,International Centre for Research in Agroforestry (ICRAF),Trees for Landscape Restoration in Rwanda � World Forestry (ICRAF)
f449aef3-4453-42c9-b542-57acc7c2e5eb,RWA_22_RECOR,Rwanda Environmental Conservation Organization (RECOR),"�Forest Landscape Restoration and Lake Rumira Buffer Zone Restoration   in Bugesera District, Eastern Province.� - RECOR"
39871658-bff0-49c2-aa20-ccac0b03a2c2,RWA_22_SE,Shekina Enterprise,Strengthening Resilient agriculture practices and improving smallholders� livelihood opportunities through Planting and growing cassava leaves trees in Rulindo district - Shekina
04a8e791-a41c-42c8-8fa5-580b839d7703,RWA_23_AEE,African Evangelistic Enterprise-AEE Rwanda,African Evangelistic Enterprise-AEE Rwanda
d8379e7d-8e59-4aba-b9a6-c47d4ff52494,RWA_23_APEFA,Action pour la Protection de l'Environnement et la Promotion des Fili�res Agricoles (APEFA),Action pour la Protection de l'Environnement et la Promotion des Fili�res Agricoles (APEFA).
cd46fa33-a5c1-40b4-a9ca-4793b6248157,RWA_23_ARDE,ASSOCIATION RWANDAISE POUR LE DEVELOPPEMENT ENDOGENE (ARDE/KUBAHO),ASSOCIATION RWANDAISE POUR LE DEVELOPPEMENT ENDOGENE (ARDE/KUBAHO)
94429259-36eb-4349-9390-6f45e899d0a2,RWA_23_BIOCOOR,BIODIVERSITY CONSERVATION ORGANIZATION (BIOCOOR),BIODIVERSITY CONSERVATION ORGANIZATION (BIOCOOR)
7a4f2aa6-e916-45bd-ba27-c3fa3d4ea938,RWA_23_BIRDLIFE,BirdLife International - Kenya,BirdLife International - Kenya
e3f222fd-3c0e-4f5a-a4b0-9702f5973f6f,RWA_23_FESD,FESD (Friends of Environment and Social Development),FESD (Friends of Environment and Social Development)
e3f2727f-1d76-4f70-a3c7-a6fcc181918a,RWA_23_FHA,Forest of Hope Association,Forest of Hope Association
c30a5f50-2dbf-43d5-8f3d-d5eb7ce2d445,RWA_23_INES,INSTITUT D'ENSEIGNEMENT SUPERIEUR DE RUHENGERI,Restoring forest landscapes in ISHWA Island and Nkanka sector  of Rusizi District of Weastern Province of Rwanda
265b9b72-95ac-42dd-ab49-cc335bb90e40,RWA_23_KULA,Kula,Empowering Coffee Farmers through Entrepreneurship and Climate Resilience by planting Coffee & Shade Trees
8f35f005-0876-4b87-b466-41aa86d6798f,RWA_23_OSEPCCA,ORGANIZATION FOR SUPPORT ENVIRONMENT PROTECTION AND CLIMATE CHANGE ADAPTATION (OSEPCCA-NGO),Reducing vulnerability of local community to climate change through forest landscape restoration
38315af3-3373-4478-8fca-532f38fc21f7,RWA_23_PBC,Prime Biodiversity Conservation ( PBC),CHILDREN AND COMMUNITY LEAD LANDSCAPE RESTORATION IN RUBAVU AND RUTSIRO
026f20bc-4032-46b3-a8e9-61f524c6c17a,RWA_23_RCCDN,Rwanda Climate Change and Development Network (RCCDN),"Restoring degraded landscapes of Rusizi, Nyamasheke and Karongi districts of the Western Province of Rwanda through restoring abandoned mining sites, restoring hillsides underlying lake Kivu and integrating agroforestry for enhancing soil fertility"
20245af8-de10-46d8-8895-1bfa022932ce,RWA_23_RDI,Rural Development Initiative,Restoration of Muregeya and Nyabahanga sub-catchments in Lake Kivu Catchment for resilient ecosystems and community livelihoods
179b90da-19b2-4103-9eb5-54e47378f100,RWA_23_RDIS,The Rural Development Interdiocesan Service (RDIS) with registration No. 13/RGB/NGO/2015,The Rural Development Interdiocesan Service (RDIS) with registration No. 13/RGB/NGO/2015x
121c1d61-6f1c-4d93-a6ab-87649cd81fc4,RWA_23_RECOR,"RWANDA ENVIRONMENTAL CONSERVATION ORGANIZATION, RECOR","RWANDA ENVIRONMENTAL CONSERVATION ORGANIZATION, RECOR"
02031c35-79db-44b2-8a37-a536d38fea34,RWA_23_REDO,Rural Environment and Development Organization (REDO),Kivu Catchment ecological restoration for biodiversity and community livelihood in Rusizi District
f494ae8f-e1dd-486f-968f-da177c192562,RWA_23_ROAM,Rwanda Organic Agriculture Movement (ROAM),Forestry Land scape Restoration in Rutsiro district
f143ce09-b00e-4179-83f7-706b149bf544,RWA_23_RWARRI,Rwanda Rural Rehabilitation Initiative (RWARRI),"RWA 2023 - Empowering Rutsiro and Rubavu Communities through Lake Kivu catchment Forest Restoration"
996f3017-cc38-44c4-832b-eccde0903881,RWA_23_WCI,Wildlife Conservation Initiative (WCI),Wildlife Conservation Initiative (WCI)
da7fab67-92c7-4703-b2e0-d20c9cadcdde,SA_22_CISA,Khusel'indalo South Africa Trading as Conservation South Africa,Assisted Natural Regeneration in the Kruger to Canyons Biosphere
d6240881-891e-41f0-a5b6-eb1410447edd,SA_22_NGUNI,Nguni Nursery,Nguni Restoration Project
33274073-8a4e-4eca-8b97-0e8da3833105,SLE_22_EFA,Environmental Foundation for Africa - Sierra Leone (EFA-Sierra Leone),Land Restoration for Ecosystem services and Livelihoods in Sierra Leone - EFA-SL
01918b25-6544-4027-82aa-6703c7c04784,SLE_22_YARDO,Youth Action for Relentless Development Organization Sierra Leone (YARDO-SL),FreetownTheTreeTown - YARDO-SL
9c7ae695-30e3-4629-953b-7c0f894172c3,SUD_22_AICL,Africorp International (ACI),Africorp International Prosperity Project
3a860077-df4c-4e95-8fec-41520c551243,TAZ_22_FT,Fairtree.org,FairTree TZ Usambaras
89de16d6-2e95-4588-a635-03595077f479,TAZ_22_GER,Germark Holdings,MGAMA AGROFOREST AND NURSERY PROJECT - Germark
d1f355a2-3e0f-4ffd-bb2f-eec104bf8442,TAZ_22_KIJANIP,Kijani Pamoja (the Kilimanjaro Project),The Kilimanjaro Project (Kijani Pamoja)
6af68b37-d2bc-4020-aaab-77a42cc25fd4,TAZ_22_LEAD,"Leadership, Environment and Action for Development Foundation (LEAD)",Restoration of Semi Arid lands of Tanzania - LEAD Foundation
cbe97cc6-8469-487a-af4a-056d52215742,TAZ_22_OPE,Organization of People Empowerment (OPE),Agroforestry - OPE
8cbda7fc-aa17-444b-8425-7047fade708c,TAZ_22_SJT,Justdiggit,Kisiki Hai Program - JustDiggit
fdde47ac-770e-4b7b-861b-9e4520ba906c,TAZ_22_TfF,Trees for the Future (TREES),BADILI: Building Agroforestry and Developing Independent Livelihoods in Iringa - Trees for the Future
ed1cadff-e20f-43a7-8627-aee10f48cc7a,TGO_22_ADHD,Autopromotion Rurale pour un D�veloppement Humain Durable (ADHD),R�habilitation et restauration des reliques foresti�res et des savanes pour une r�silience de la communaut� de Bato au changement climatique - ADHD
5b02c3a0-0f64-4506-8cc5-719dfa8c1641,TGO_22_APAF,Association pour la Promotion des Arbres Fertilitaires de l'Agroforest�rie et la Forest�rie - Togo (APAF-Togo),Projet d�appui � l�agroforesterie et la foresterie villageoise dans la r�gion maritime du Togo ( PAFVMATO) - APAF-TOGO
a8940698-ff28-456c-b8cd-f7289e612913,TGO_22_MAPTO,Mouvement Alliance Paysanne du Togo (MAPTO),Promotion des strat�gies de plantations des arbres dans la r�gion des Savanes au Togo  (ProSPA) - MAPTO
c3d2858f-aa3d-458e-8e88-5a7f376e6ef4,TGO_22_PERJAT,Les Perma-Jardins du Togo (PERJAT),Planter et  faire  pousser des arbres � travers la mise en place des r�serves communautaires au Togo - PERJAT
2d3717a6-293d-4b1b-a01c-d31a68560fd1,TGO_PADES,Programme d'Aide pour le D�veloppement Economique et Social (PADES),Renforcement de la participation des populations pour la restauration du couvert v�g�tal et des sols d�grad�s du massif de Lama dans la pr�fecture de la Kozah au Togo - PADES
389aad5b-6577-4cea-bf9f-446dcfd94966,UGA_22_BCCP,Bulindi Chimpanzee and Community Project (BCCP),Bulindi Chimpanzee and Community Project
2d1cffcd-300f-4939-a136-310347cf6879,UGA_22_DBGL,Divine Bamboo Group,WITHDRAWN: Divine Bamboo Afri 100
47673f46-0af9-4047-afc7-b4f4fefaa5e7,UGA_22_ECOTRUST,Environmental Conservation Trust of Uganda (ECOTRUST),Restoration of Wetlands and Associated Catchments Project in Eastern Uganda - ECOTRUST
802bb88c-5eb5-4ce2-836f-19bc8e0ddfc4,UGA_22_KEA,Kikandwa Environmental Association (KEA),Climate Smart Innovative Agro-ecology Project - Kikandwa Environmental Association (KEA)
d8210ae4-2c85-4094-b0f3-0e0cda687aa9,UGA_22_KF,Kijani Forestry,Multipurpose Agroforestry Plots with Smallholder Farmers - Kijani Forestry
5b6a5e11-03ae-4adc-b4ef-9bf4239aa705,UGA_22_NTISD,Nsamizi Training Institute of Social Development (NTISD),REFORESTATION - Nsamizi (NTISD)
d5e0a4ff-8601-45d0-9020-8c104e5ea508,UGA_22_PANR,People and Nature Rwenzori Mountain (PANR),Planting Trees � Reforestation - PANR
f4b92387-705a-40bf-a7bb-e84f942de1ec,UGA_22_SOLIDARIDAD,Solidaridad - East and Central Africa,ENHANCING AGROFORESTRY IN TEA LANSCAPES OF UGANDA - Solidaridad
bad12444-7180-4b29-a14c-d2b4305b7f52,UGA_22_SWAGEN,Support for Women in Agriculture and Environment (SWAGEN),Forest Resource Conservation - SWAGEN
71706fe4-0e80-4552-8be2-d6f6a55e13d2,UGA_22_TAU,Tree Adoption Uganda (TAU),Tree planting - Tree Adoption Uganda
23fb0b35-2519-48c6-bf97-ce0fae418d53,ZMB_22_MOOTO,Mooto Cashew Suppliers,"SAVE THE EARTH, FEED THE NATION - Mooto Cashew Suppliers, Ltd."
f6075e7c-1d31-4bee-ba64-154cd664f7a1,ZMB_22_SCOPE,Schools and Colleges Permaculture - Zambia (SCOPE-Zambia),Transforming bare land in to Food forest - SCOPE Zambia
0733b059-5538-4fd8-8c9a-7adb78aea248,ZMB_22_SOLIDARIDAD,Solidaridad - East and Central Africa,"Farmer Managed Natural Regeneration and Tree Planting in Mazabuka, Zambia - Solidaridad"
f6ad3f9f-122b-4927-8c0c-de5576054f15,ZMB_22_WEFZAMB,WeForest Zambia,Katanino Forest Landscape Restoration Project - WeForest
33ee81da-5421-410e-a642-37fc3b0cb935,ZWE_22_MTT,My Trees Trust,Mashonaland West Woodlad Restoration (Chundu/Deve) - My Trees Trust
6b2dc32e-4414-48e0-9472-ebb49a766c28,ZWE_22_SAFIRE,Southern Alliance for Indigenous Resources (SAFIRE),Zimbabwe Forest Restoration Project - SAFIRE
