TM Project UUID,Project Code,Organization Name (from Full RFP Vetting) (from Project Code),Project Name (from Full RFP Vetting) (from Project Code)
a47c6c63-0558-49ca-9dfa-c26ce39981bf,DRC_23_COCAT,"COOPERATIVE DES CAFEICULTEURS ""TUUNGANE""",R�forestation des collines et plaine de la Ruzizi � travers la caf�iculture
d3899fa2-d478-4b9a-ae86-8c58f5db8910,DRC_23_GAD,Green Action Developpement,"Renforcement de la r�silience des communaut�s locales de l'Est de la RDC, dans le territoire de Kalehe, face aux cons�quences de la d�forestation et la d�gradation des �cosyst�mes et des terres"
6eb233d3-63bc-41dd-be2b-7d4f7c01a95a,DRC_23_IADL,Initiatives et Actions pour le d�veloppement Local _ IADL,"Promotion et Gestion durable des micro-boisements individuels dans le territoire de Kabare, province du Sud-Kivu en RDC."
921e8a4e-db12-4231-b474-69030cd6513d,DRC_23_PFDK,PLATE FORME DIOBASS AU KIVU,"Agir pour un �cosyst�me durable autour de la Rivi�re Ruzizi � partir du  Sud-Kivu ,  ""APEDAR-Sud-Kivu"""
d795ccb8-d9e1-4075-aa2d-c2ee772d72cb,DRC_23_PWP,Plant With Purpose,Plant With Purpose 
88f66be9-0df0-41e1-b3ff-20426b558787,DRC_23_UESEF,UNIS POUR L'EDUCATION SOCIOENVIRONNEMENTALE DE LA FEMME (UESEF),UNIS POUR L'EDUCATION SOCIOENVIRONNEMENTALE DE LA FEMME (UESEF)
94be995a-7465-444b-96af-15462ab805df,DRC_23_IGH,Itombwe G�n�ration pour l�Humanit� - IGH,Itombwe G�n�ration pour l'Humanit� - IGH
1df7b898-1751-4924-b293-43a0cbcb505d,DRC_23_NFI,Nabahya Food Institute,Nabahya Food Institute
18a6e7f3-39c7-4e28-812b-65d049d5c9de,ETH_22_NABU,The Nature and Biodiversity Conservation Union (NABU),Tree Based Landscape Restoration in SWE for Improved Livelihood and Environmental Sustainability - NABU Ethiopia
d280f307-d638-4502-aa64-ebc6b3989da6,ETH_22_SABW,SA Bamboo Works,SA Bamboo works PLC
8a112e82-e191-44ad-b306-2578c064104b,ETH_22_SUNARMA,Sustainable Natural Resources Management Association (SUNARMA),Forest restoration & re greening Ethiopia - SUNARMA
96c86eae-d4f9-45d8-9780-69c55a9e36e9,ETH_22_WVE,World Vision International - Ethiopia,World Vision Ethiopia One Tree Planted Project
d77299ed-aa38-4aa4-9c1f-2063da78dc77,ETH_22_ECFF,Environment and Coffee Forest Forum (ECFF),"Restoration of dry Afromontane forest around Debre Linanos Monastery and the surrounding landscape, Central Highlands of Ethiopia - ECFF"
2f4b5b55-49e2-4cec-a40a-521c5c142c91,GHA_22_CERATH,CERATH Development Organization (CDO),The Integrated Resilient Savannah Agroforestry Project - CERATH
47118e50-d4d1-4ba0-8094-59cfa441dbb0,GHA_22_ECOCare,EcoCare Ghana,Community-led Restoration Project - Restoring for the Future - EcoCare Ghana
abdb9d09-7c55-4e26-8961-1aa26e991bbc,GHA_22_FOTE,Friends of the Earth - Ghana,KAMRI - FoE Ghana
943bb150-f1b7-4ad2-bb9e-60a559df2ebd,GHA_22_GGV,Goshen Global Vision (GGV),Agriculture and forest landscape restoration - Goshen Global Vision
529e1bae-2187-473f-a2a3-17e577720aba,GHA_22_HERP,Herp-Ghana,Restoration of a priority montane forest ecosystem in Ghana - Herp-Ghana
12aefea5-2ec9-4181-93c3-2c739f7c8d64,GHA_22_HMPOANO,Hen Mpoano (Our Coast),Mangrove Ecosystem Restoration in South Western Ghana - Hen Mpoano
9100baf3-9ac4-4db5-85a7-bc12b236a370,GHA_22_IGGS,Institute of Green Growth Solutions (IGGS),RESTORATION OF DEGRADED LAND THROUGH AGROFORESTRY AND REFORESTATION IN GHANA - IGGS
243f93d2-0d4b-4dac-8b23-997e6528dc8e,GHA_22_INEC,Institute of Nature and Environmental Conservation (INEC-Ghana),Planting Trees � Reforestation - INEC Ghana
476273a3-d0b3-4f89-be10-9703f038d0c0,GHA_22_PADO,Private Afforestation Developers Organization (PADO),Restoration of Degraded Forest Lands in Ghana - PADO
719bc145-df07-412f-a93a-3cf360ea6ed9,GHA_22_SAFI,Sustainable Agroforestry Initiative (SAFI),"Restoration of Black Volta Basin Landscape for Energy, Income and Environment - SAFI"
5fb3f47f-c209-4752-adc6-dea2c0de02de,GHA_22_TILAA,TILAA,Integrated Cashew and Beekeeping - Tilaa Ltd
a727d737-370f-4ac0-889c-88b7b190e4ff,GHA_23_EAF,Environment and Agroforestry Foundation,Promoting biodiversity conservation and livelihood improvement of forest fringe communities in Bono Region of Ghana
24e290f1-5b13-4ca8-acce-43dcc8e5bb43,GHA_23_EMFED,Emfed Farms and Trading Company Limited,"Cocoa Farms Restoration in The Assin North,  Central And South DIstricts of the Central  Region  of Ghana"
213c1946-d7f8-4c03-95c3-5774dab48254,GHA_23_FANTEAKWA,Fanteakwa District CCP Cooperative Cocoa Farmers and Marketing Limited,Push 2 Restore
0f4bdbba-adf9-4554-ba29-fb28d3b9c1fd,GHA_23_GGV,GOSHEN GLOBAL VISION,AGRICULTURE AND FOREST LANDSCAPES RESTORATION PROJECT
b6b9762b-093c-474a-9fbc-3b36feb44a94,GHA_23_HERP,Herp-Ghana,Landscape level restoration of the degraded semi-deciduous forest of the Wenchi Municipality through community action.
9db2495f-bee1-4323-97ac-c86a3a4e0283,GHA_23_HMPOANO,Hen Mpoano (Our Coast),UP SCALING RESTORATION EFFORT IN SOUTHWESTERN GHANA
7414340a-986e-4d5f-a614-249f91c3b9d0,GHA_23_INEC,INSTITUTE OF NATURE AND ENVIRONMENTAL CONSERVATION (INEC GHANA),Restoration of Degraded Forest Landscapes in Offinso Forest District using Native species
ac097899-437a-42c5-9b67-b70dd91c231e,GHA_23_KUKUOM,Kukuom Cooperative Cocoa Farmers and Marketing Union Limited,Cocoa Landscape Restoration through Dynamic Agroforestry
30812e57-54e1-4bde-af22-8856baee51d9,GHA_23_MIF,MIHOSO INTERNATIONAL FOUNDATION LBG (MISSION OF HOPE for Society),Community livelihood improvement through sustainable agricultural practices and agroforestry in selected cocoa growing areas in Ghana.
8bb81813-c1f3-4973-9caf-319d506a153b,GHA_23_RESCONI,Resource Conservation Initiative (RESCONI),Restoration of Degraded Cocoa Landscapes Towards Addressing Climate Change Impacts in the Asunafo-Asutifi Hotspot Intervention Area (HIA) and Atwima Mponua Districts in Ghana.
de890c8e-1707-4b69-aa21-7fc551ef7a6a,GHA_23_ROCHA,A Rocha Ghana,"Collaborating with local communities to strengthen their livelihoods and the climate resilience of Atewa Forest through reforestation, enrichment planting and agroforestry"
697bf076-1e8c-4782-9245-a0da519759ea,GHA_23_SAFI,Sustainable Agroforestry Initiative (SAFI),Restoration of Dry Semi-Deciduous Forest within the Bono East Region
617601e0-9839-49fd-b48e-6c07404e7140,GHA_23_SAKAM,Sakam Savana Limited,Afram Headwaters Restoration Initiative (AHRI)
c76fb8a0-d9ff-4856-b20e-7acd6c29dd72,GHA_23_TALMOND,"Talmond Ltd.",(Tropical Almond Agroforestry Project) in Ghana
394e4de8-7b45-4834-a467-241ae4a16ece,GHA_23_TROPENBOS,Tropenbos Ghana Programme,"Restoration of Community Forestlands for Biodiversity Conservation and Enhancing Sustainable Livelihoods in Asante Akim South Municipal of Ashanti Region, Ghana."
fd1c50d3-1bd9-454a-bd81-8493b9ab2e84,GHA_23_YM,Y&M REGENERATION LIMITED,AgroForest Carbon Project
c4eade71-6f42-4e45-8649-ffa251f2caed,GIN_22_AMSP,Association Mines sans Pauvret� (AMSP),Projet de conservation des for�ts mangroviennes de la boucle des Rio Nu�ez et Bongo dans les Pr�fectures de Boffa et Bok� - AMSP
6d4d7217-175b-4d0c-927d-7596381ddc55,GIN_22_AMSPM,Association Mines sans Pauvret� (AMSP),Projet de restauration et de conservation des �cosyst�mes du Ziama - AMSP
f9dc4f5a-503b-45e5-baf0-0162f7bdb891,CIV_22_IMPACAD,Blue Forest,"AGROFORESTRY AND MANGROVE RESTORATION PROJECT IN SOUTH COMOE, COTE D'IVOIRE - Blue Forest"
62043c88-f03d-475e-ac9c-2f057536e2a8,CIV_22_SOSFORETS,SOS-For�ts,Cr�ation de 150 hectares de plantations foresti�res communautaires afin de lutter contre le changement climatique pour l�autonomisation des couches vuln�rables (femmes et jeunes) dans le d�partement de Kouibly - SOS-For�ts
35f4ee57-1f01-4e69-91be-d927aa5c0c89,KEN_22_ACEPZL,Acacia EPZ,"Landscape restoration through promotion of agroforestry, active reforestation, and by elimination of invasive Prosopis juliflora - Acacia EPZ"
cde946c3-5f1a-4782-9457-b399f284caf0,KEN_22_AFGL,Afrex Gold,Kagundo Restoration - Afrex Gold
d6481438-9603-4c68-b152-6586ed825b0a,KEN_22_DNRC,Drylands Natural Resources Centre (DNRC),Drylands Agroforestry Tree Planting Project - DNRC
9019106b-6e2d-4deb-97a5-2889f976a931,KEN_22_DREK,Development Response - Kenya (DREK),FAFI TREE RESTORATION PROJECT - DREK
71ffc45f-584a-472c-808d-7715c8d94929,KEN_22_EEPZL,Exotic EPZ,Agroforestry - nurseries and trees - Exotic EPZ
44c352fb-0581-4b97-92d7-6cbe459e13d0,KEN_22_EFK,EcoFix - Kenya (EFK),EFK-ANA Agroforestry Project - EcoFix (K)
2e2130be-7da7-4898-a9da-98ebb908cc96,KEN_22_FT,Fairtree.org,FairTree - Kenya - Samburu
e4a9f60c-e555-43ff-b428-5b13f6501d66,KEN_22_GREENPOT,Green Pot Enterprises,Riparian Land and Water Catchment Areas - Green Pot Enterprises
5b7983b3-e887-44da-8d66-0ee747379214,KEN_22_ILEG,Institute for Law and Environmental Governance (ILEG),"Restoration of Got Abiero and Yala Swamp for Improved Biodiversity Conservation, Community Livelihoods and Local Climate Stabilization Through Tree Growing - ILEG"
cf16b937-a02b-4691-b816-28669ec348f2,KEN_22_ITF,International Tree Foundation (ITF),"Ecosystem and livelihoods enhancement for People, Nature and Climate in Marsabit County - International Tree Foundation"
e4fe2fa4-6869-4c1e-9347-ba9b135306f5,KEN_22_KENVO,Kijabe Environment Volunteers (KENVO),Restoration of Kiambu and Lari Landscapes through Planting and Growing Trees - KENVO
76374ef9-c5df-4d62-a28b-92b100b95581,KEN_22_KFT,Kijabe Forest Trust (KFT),KIJABE FOREST TRUST
aa0f8df7-b668-48f0-a8ce-bf5558f2a9d6,KEN_22_MKEC,Mount Kenya Environmental Conservation,Mount  Kenya Landscape Restoration and Community Livelihoods Improvement.
bf838a8a-ab07-44c1-8f63-3d929782414a,KEN_23_AAE,Ahadi Achievers Empowerment CBO,Vibrant  Village Ecosystems for Sustainable Climate Action
a296d246-7545-4c8d-8781-49876ec03ba9,KEN_23_AFREX,Afrex Gold,Afrex Working Capital Top-Up
05c05359-98f9-4bb3-a7fa-236051940aa6,KEN_23_COPICAD,COPICAD Community Based Organization,Enhancing Community-Led Landscape Restoration And Livelihoods Improvement In  Nyandarua
9bdf80ad-4c2d-4292-a21b-95b819f9c4be,KEN_23_COSEO,Community Socio-Environmental Organization,Promoting restoration efforts of Lembus forest ecosystems for and by stakeholders
c528071b-053c-4291-96b9-688c2ebe12aa,KEN_23_DREK,DEVELOPMENT RESPONSE-KENYA,"NYANDARUA COUNTY TREE RESTORATION INITIATIVE THROUGH SUSTAINABLE AGRICULTURAL PRACTICES IN AGROFORESTRY, REFORESTATION AND RIPARIAN & WATER CATCHMENT MANAGEMENT"
cb8c8dad-43a4-42fa-a262-b9244d23cca8,KEN_23_EDEN,Eden Reforestation Projects,"Ol Mariko Restoration Project in Mau Forest, Kenya"
c7248e59-5a41-4b76-a1a2-d2db8ffc9247,KEN_23_ENDAO,ENDAO WATER RESOURCE USERS ASSOCIATION,Restoring Endao Catchment; A Community-Based Tree Growing Projectd
b19c9cb1-8cb3-41f8-8aa7-5104e2ae9897,KEN_23_EXOTIC,Exotic EPZ,Exotic EPZ Factory Top-Up
e280730f-181f-48f5-a037-288c47a6db0a,KEN_23_FARMLIFE,Farmlife Health Services,"AVOCADO TREE FRUITS, SEEDLINGS REDISTRIBUTION AND  AGRI BUSINESS CONSULTANCY PROJECT"
cdbf9bf1-d088-4664-a98f-8c684b36e5d3,KEN_23_GBM,Green Belt Movement,Restoration of Mau East forest and adjacent farmlands for climate resilience and improved livelihoods
04af9a53-455b-4972-bf23-baa3019919be,KEN_23_GOSHEN,"Goshen Farm Exporters Ltd",Deployment and Commercialization of Fruit Trees as Sustainable solution for Reforestation   In Makueni County
385e647c-0b37-42e2-a7ee-b8c8fb454de1,KEN_23_GREENPOT,Green Pot Enterprises Limited,Scaling Restoration The Value Chain Way
a43d00e0-4a5e-44ed-a2b4-f6ef0a0f729c,KEN_23_GROOTS,GROOTS Kenya Association,"Community Led Restoration of Loyamorok, Mochongoi, Marmanet, and Igwamiti Landscapes through a sustainable food forest approach."
d537cd2c-dfb2-4a36-a8ef-1f2e7bc705b3,KEN_23_GROWTECH,Grow Tech Nurseries LTD,Restoration of East Mau Forest Using Tissue Cultured Tree Seedlings with Sustainable Uses
15a3e7a4-5ebd-45d0-a072-d78d2b5f7ac6,KEN_23_ILEG,Institute for Law and Environmental Governance,"Restoration of Athi Kapiti Plains and other degraded ecosystems in Kajiado County for improved biodiversity conservation, community livelihoods and local climate stabilization through tree planting"
9c93de5d-12cd-4e7e-b99c-49cb6f890e58,KEN_23_ITF,International Tree Foundation,"Scaling ecosystem restoration and livelihoods improvement in the Great Rift Valley hotspots of Kenya for people, nature and climate"
55c9c722-3aa8-45b8-bd97-36805c3e389f,KEN_23_JICBO,Jumuisha Initiative Community Based Organization,Green steps initiative
ac5da8e9-46e9-428e-a07f-1e0baf2ff3ed,KEN_23_KENVO,Kijabe Environment Volunteers (KENVO),Mai Mahiu Landscape Restoration for Improved Environmental Resilience and Community Livelihood
cd688e07-0fc0-4c1f-9bef-5ce8063ed674,KEN_23_KIMPLANTER,Kimplanter Seedlings and Nurseries Ltd,Restoring the semi-arid region lands of Kajiado South ; degraded by  flash floods and soil erosion creating deep life-threating gulley's.
576c1769-ed59-406d-ae6f-d70b136d028c,KEN_23_LF,Leona Foundation,Bahati & Dundori Forest Restoration Project
5ab53192-39c8-4284-95d5-6f5544f8e94f,KEN_23_LOCCOG,Lake Ol'Bolossat Community Conservation Group(LOCCOG),"Support towards restoration of forests and degraded landscapes for improved livelihoods and resilience to climate change challenges, Nyandarua County, Kenya."
01e1872d-bb9c-4cce-948c-8756598e029b,KEN_23_LWFL,Laikipia Wildlife  Forum Limited,"Restoration of ecosystems for increased tree cover in the Upper Ewaso Ng'iro Basin in Laikipia Landscape, Kenya."
c462918b-47f7-4ed5-99e0-7fec6e342036,KEN_23_MOTO,Moto Feeds,"Nakuru Eco-Reforestation Project"
eb56f448-703a-4683-b3fd-54d18b649202,KEN_23_NATURE,Nature Kenya (The East Africa Natural History Society),Restoration of Cherangani forest ecosystem services through direct planting of trees inside degraded state forests
3332a66e-625a-4f37-8891-80c9b57e2e07,KEN_23_NNGRA,The Network for Natural Gums and Resins in Africa,"Bolstering Resilience and Livelihoods: Ensuring Land restoration by strengthening Gum,  Resin and aloe production in Baringo, Elgeyo Marakwet and West Pokot Counties"
c325f8e1-a806-468a-8d24-d2b62e3ea888,KEN_23_OPDP,Ogiek Peoples Development Program(OPDP),Greening East Mau Again.
744d9613-02a4-4484-be15-0d6a401f0086,KEN_23_ORCHARD,ORCHARD JUICE LIMITED,Orchard Mango Tree growing in Makueni
f35188cb-b753-44f1-bb6f-dd5dd33da141,KEN_23_PACJA,PAN AFRICAN CLIMATE JUSTICE ALLIANCE (PACJA),"Engaging local communities in restoration and  rehabilitation of  degraded areas in Rift Valley, Kenya"
d2c7ba9c-ec6d-47eb-9071-9cd1bbcb8b80,KEN_23_PARAN,Paran women group,"Scaling up of Afforestation, reforestation and land scape restoration of Narok south county - Kenya "
a5e428be-71a2-44f8-8a47-08141b0b259c,KEN_23_SCOPEI,Saving and Conservation of Our Planet Earth Intervention (SCOPE INTERVENTION),"Torok River Rehabilitation Project, Phase II."
8c4c6cf9-5b3e-4f36-9091-24b3b1a80403,KEN_23_SESANA,SEED SAVERS NETWORK ASSOCIATION,Increasing vegetation cover in degraded landscapes through tree growing
568dc331-b945-41fd-ab57-80a98be57941,KEN_23_SFCAK,Slow Food Convivia Association of Kenya,Women and Youth-Led Climate Initiative for restoration of Mau Forest Ecosystem
6ac2c02b-fa83-448c-813c-eaab14efecf1,KEN_23_SJT,Justdiggit,South Rift Treecovery
146b6912-62a1-4b58-b027-466dc3295731,KEN_23_SKWT,SAVE KENYA WATER TOWERS,REJUVENATING THE GREAT RIFT VALLEY LANSCAPES
151735a0-0855-4bf0-9c76-55a91fd169f4,KEN_23_SOLIDARIDAD,"Solidaridad Eastern and Central Africa Expertise Centre ""Solidaridad""",SHADE 4 VEGETABLES : The SAVE Project
82dd3a84-2562-4a6f-85d9-f83790daaaba,KEN_23_WEZESHA,Wezesha community Based organization,"Promoting Agroforestry for community resilience to climate change in Bahati (Nakuru North) Sub-county, Kenya"
77fc2c03-5605-45b3-b417-f69d93157215,KEN_23_WWANC,Women In Water and Natural Resources Conservation (WWANC),"Women led Community  forest Conservation  Initiative in the MAU forest ecosystem   Narok County, Kenya"
562fa859-5124-49a5-947f-e1ddb7680e07,KEN_23_WWF,World Wide Fund for Nature Kenya (WWF-Kenya),Trees for Societal and Economic Empowerment in  Nyandarua County in Kenya (T4SEE)
ae90b323-03df-4fb1-bd91-6f05f5236922,KEN_24_Vokenel,Vokenel,Vokenel Limited Baobab conservation and Restoration project in Makueni County
90d13b5d-efb6-40b5-8f25-777f69e18d5e,KEN_22_SFK,Sadhana Forest Kenya,Restore Central Samburu - Sadhana
53f9f5a6-9346-436c-87bb-b5cc86d978c0,LBR_22_SCNL,Society for the Conservation of Nature of Liberia (SCNL),Lake Piso Community Agroforestry Project - SCNL
684fb6a6-db3c-403a-8bb5-1b90c4234ace,MLI_22_ASIC,Association de Soutien aux Initiatives Communautaires (ASIC),Contribution � l'am�lioration de la couverture v�g�tale de la s�curit� alimentaire et nutritionnelle des exploitations agricoles par la diffusion des technologies et des bonnes pratiques agroforesti�res - ASIC
814fc561-d635-423d-ab9d-30ce02a81172,MLI_22_SAHELECO,Sahel Eco,Inverser la d�gradation des terres et des for�ts par le mise � l'�chelle des pratique de reverdissement - Sahel Eco
19fd0527-1dc7-4362-8fa9-d60253fc3809,MLI_24_HEROU,Herou Alliance,Restoring ecosystems and empowering communities in the Sahel
174cb80b-d4df-45f7-9f96-9fc5788b217a,MDG_22_BONDY,B�ndy,B�ndy Bamboo
292bbbda-ec32-40e2-a127-3670a052423d,MDG_22_DWCT,Durrell Wildlife Conservation Trust,Restoring the globally important wetlands of Alaotra and Sofia - Durrell
47f07709-b503-4eeb-98fa-aea62e979ca8,MDG_22_ICTE,Centre ValBio / Institute for the Conservation of Tropical Environments (CVB/ICTE),Agroecology Project - Centre ValBio
16b297b3-30a3-4624-bcc9-4333919f66fc,MLW_22_WAG,Wildlife Action Group (WAG),wildlife action group
cf106374-3dd4-401d-80ba-25b70247381a,MLW_22_WfZ,Wells for Zo�,Enyezini forest and soil restoration - Wells for Zoe
652ba56f-2e75-4735-a0d1-aafebbd940c1,MOZ_22_ISTITUTO,Istituto Oikos Onlus,Reforestation of mangrove forests in Metuge district - Istituto Oikos Onlus
4a853e6a-dba4-442a-b528-09702250244f,NIG_22_AAL,Aerobic Agroforestry,Planting trees for climate and livelihoods - Aerobic Agroforestry
246a0906-7e03-4b57-bf71-b697b333509f,NIG_22_ADDAX,Addax Gum,Restauration des terres par la gomme arabique - Addax
bcde8454-bdd2-4b62-95b9-b572e8c5c460,NIG_22_ARAMD,African Research Association Managing Development in Nigeria (ARADIN),Promoting Biodiversity Conservation and Sustainable Livelihoods in Obudu Plateau - ARADIN
b7f26543-0ddb-4d10-a215-abfc093b0ed0,NIG_22_IITA,International Institute of Tropical Agriculture (IITA),Restoring the Olokemeji Forest Reserve through community-based conservation approach - IITA
24fc33cb-53ad-4383-82ca-f6e2ac3fd143,NIG_22_NCF,Nigerian Conservation Foundation (NCF),Restoration Project - NCF
1bbf9901-b62e-47b6-94fd-6dee329bf8c5,NIG_22_POEL,Powerstove Offgrid Electricity (POEL),POELNigeria - Powerstove
2cfc8e4d-32cc-438b-ba3a-c224a90709d0,NIG_22_S3D,E3D - Niger,Neem- Manioc S3D-Niger
bbd88e69-cd85-429e-bebf-6234bf82dbb3,RWA_22_ARCOS,Albertine Rift Conservation Society (ARCOS Network),Landscape restoration for improved environmental resilience and community livelihoods - ARCOS
