uuid,planting_status
be3c9617-31ff-43f5-9fd4-9e11adbb8e8d,in-progress
d6191b6c-4639-42d9-85bf-377bf8a09df0,in-progress
30deb9c8-7e5f-453d-9890-9b1ecab1bb8d,in-progress
0d396191-606a-41d1-a344-f474568c764d,in-progress
2df98a4a-4626-41e8-b67d-5677bd98b932,in-progress
e3596c4b-ad3b-4ea3-8764-c45c20c02693,in-progress
27699c99-0a5f-4f2b-a24c-c7d071c13ac9,in-progress
5b678045-f603-4f2f-b17f-ee686d8d85bb,in-progress
cc6ddad4-c357-4f88-ac32-5e7279b3139b,in-progress
f545b590-c533-4127-9e90-8c072164f49e,not-started
7897a3b4-9a8f-4dd9-98c1-8a564d94d461,in-progress
eeee29b6-e635-4a85-80d1-cc8b50ced6a9,not-started
4f6f6df8-cef0-45ee-ba87-1978a0a81631,in-progress
02ff5329-3f69-42d7-b9da-fb0700135c3b,not-started
2f8a9b7e-c83c-4b29-98b2-3167600f95c2,in-progress
fc8f1dcb-1dd8-497b-80a0-6270aaf9bc96,in-progress
160506fc-9865-409a-b524-ac21dea2785a,in-progress
73872ff8-3965-472a-9553-7cd4b726580c,in-progress
e688c1f8-b7fc-4614-bd45-bab5bb2a20b7,in-progress
0b640b37-3f60-47f0-8cee-2241bff652f1,in-progress
f5117893-7dd0-4e86-8028-ed3b26167a97,in-progress
5bd4285b-a45a-41f4-8f45-9800aa30f4f9,not-started
c53205f4-95d3-4cfe-bd2d-0292ac3db53a,not-started
4fb01a40-9a8e-4e53-9870-8ae27158c69e,in-progress
2e09aece-7405-424f-852f-6e0107bb5006,in-progress
aef256a0-b839-4b64-b569-5ef58258cbe3,in-progress
a267098e-fb46-4ff9-ab5c-7b63011ff08b,replacement-planting
93cf3f8a-0876-4761-b8c2-31f67c318d35,in-progress
637e3253-b671-4403-83e8-880219fc0ef7,in-progress
b7b1a116-8ced-431e-a612-3cdf8d2d6dc0,in-progress
90deb415-58bf-4c3c-a587-a84ae9b949a7,replacement-planting
ba60dbbe-3ab9-4ac2-a170-77fbf264fb58,not-started
1c4e0590-8037-4a56-b30f-9f9eda7846c1,in-progress
b708ad2b-a2fc-4780-86c3-39ba420e56ee,in-progress
a1654ad1-1a02-4feb-a1f4-56513cb95691,in-progress
6f6e6c4f-c58d-4f49-8b0a-c8ef07ef12d3,in-progress
f55fa394-4e49-49b6-b07e-35dd754591b3,in-progress
8b379c78-e10e-4e62-bbaf-6044d7dde46f,in-progress
edf280dc-6e72-4aac-8556-994995fe8689,in-progress
53a65f47-1c42-46cb-9122-d8fe8ea5742f,completed
588915ff-3f36-410e-baa3-e25770ea79dc,not-started
948bb738-5f64-4eff-8357-74abd9e63e2a,in-progress
bfea3ffb-3df2-4bf7-96e6-266562a2ead3,in-progress
3311e5aa-e968-44ec-a3d8-c02253361e5a,in-progress
110d53e6-96d3-49ff-8a8c-4299976509a3,completed
ccd5d68f-22fb-4ccc-a0a3-da5a4e58be55,completed
f66b211c-9f48-4291-a45f-89db2c5995f7,completed
e9a089d9-3452-4bbd-83ae-56ffad3245a1,in-progress
897b2835-640d-41ff-b5b2-15e9a0846841,replacement-planting
af070694-4bfe-47f9-ba96-d041c43e87e5,in-progress
4f50b3f6-11bc-4625-93a8-0bde9fb635ac,in-progress
f9bb3fe9-04b3-4a5d-b014-2c48e713d3e3,not-started
79d491f4-9b03-43a2-be75-54910a0c6136,in-progress
f4d65b7a-12bc-4e90-aa78-e31a4ab31a86,not-started
96ad5684-58c7-4d03-b4f6-c33e4f7bc108,in-progress
994ce6d5-a26c-4026-9f06-42463ed35292,not-started
5f5d206b-a9c7-413c-8471-3de995ee9606,not-started
640ca3f1-794f-4117-b5c3-e72eb4eb477a,not-started
8b934184-be55-4c22-8827-d748d09d15a1,in-progress
91bd1b11-a90b-4053-a379-29be13a48dd4,in-progress
833e8c62-f475-4523-9717-5b80ef29b954,in-progress
74c684b9-f773-48ea-9bde-7bc93a61701b,in-progress
bb8cb9b0-9730-4fdb-8ccc-ad499490dcd7,not-started
f824655e-8f0d-485d-b3e7-59006bf465bc,not-started
cfd341f7-002b-4de5-9053-bd8395837732,not-started
474a47d5-dda7-41ff-b758-fb1d423dfbaf,not-started
bb805e81-e6d9-4dd0-89ca-3c153076bc97,in-progress
e71d3b0e-1ac4-4647-8cfd-b6ed8a6df157,completed
19950c7b-3777-4a22-a12d-71ac31b6b6c7,completed
e774237c-fd2d-433c-8557-6a4b2547d561,not-started
59f1c2cf-eda1-4499-8a97-528a3232bed1,in-progress
2ac2e6ac-3390-4157-9b3a-3029717293b4,in-progress
3ea1066d-c0e6-421e-9460-2ff878bf791d,not-started
586c46c4-ad0f-4011-9fe1-41ee67e552c7,not-started
0f93bc88-7962-4ff8-8221-56fce5791670,in-progress
52bc3f4b-c87c-4438-b624-715a75245920,in-progress
42936661-fac8-45db-a061-55730f09dacb,in-progress
6e2f1f2c-4293-40d4-8942-a902ae52cd41,in-progress
5ba8e19a-17d0-46e3-a265-a7dbe3d88ec2,in-progress
a981a3cf-6657-4372-bbc4-4c235a33b28f,in-progress
359cd3a5-81b0-47f0-a5da-93f331f4ca3d,in-progress
09c0044a-ff3a-4e31-88e1-5014ec75cfa3,in-progress
18175863-9793-4524-b279-184095f1236e,not-started
c72ca399-c196-4aa3-bcbb-54b22cc2c49a,replacement-planting
0d1a011a-d699-432c-ada9-c542b0e90f68,in-progress
37648dec-8a60-49ca-a7b7-76e8f0fde553,in-progress
ca94aa1e-143b-46ab-a27d-50d84ae42601,in-progress
19043795-4f93-46d6-bc6a-c5765164aa27,completed
cd00f00d-bbb5-4e75-823e-b85256fd7c35,completed
1ee01dd3-a5a4-4456-a6bb-f27c295fad7e,completed
d6c90854-97a0-4b58-a014-f4d6ab92a823,completed
4d3c1f7d-c21e-4afb-ba1b-656d2400b60d,not-started
abaf118c-31d2-441d-8b57-782305d76955,in-progress
c2876514-4540-4cc5-ac6b-219171c56761,in-progress
62d31071-bc1d-415d-8f88-0ddbcd7cf59f,in-progress
0c0e804e-f400-4828-af93-fed9f2c3b412,no-restoration-expected
0f3246b1-0f18-43a8-960d-64b6387f72bb,in-progress
2bfe6f16-94a3-4663-950b-8993401de44e,in-progress
c257781f-67a6-47fa-af65-206c393ba9b2,in-progress
e92ca3ff-4943-469d-a7c2-cfdd9ddde0c6,in-progress
45fe6834-917c-4d94-8681-468600e1d189,in-progress
6a36856c-5e1d-42b4-b742-c09b91e6659e,completed
f08399bb-06f5-4fdd-9073-f38ae23ce8ec,completed
5401f622-ff3f-4a9a-9423-03da77a398b7,in-progress
7eaff8b2-cd32-4bf5-8aa5-baacc25f22d9,in-progress
efdc95d1-6a6a-43c0-85f3-816b3f08243b,completed
a8461b53-e0e0-4173-a815-e40c21bef0ca,in-progress
adebb3f6-4961-4f44-af74-49ac214f809d,in-progress
