uuid,planting_status
bd717268-6f68-482c-9f39-d4de33916aae,completed
b38fcde9-e336-4fb0-b4ae-21fd6762c852,completed
b4960f03-e2bb-4906-b085-b63acc1287e3,in-progress
3d8919b7-e41f-4000-86a9-b57c8be9c52d,in-progress
8fc5491a-17d1-4d37-a247-a39f3ab37eb8,in-progress
49204e0a-0dcc-4865-a226-ded74e1074e6,completed
832e2eb9-e2e3-43b2-8d7c-b521b2608688,completed
60892049-4a96-40a9-9653-f96195078cec,completed
e9d53c15-f953-4bf5-a25b-71e4e05664b2,completed
b5425935-70b0-4d6c-a26d-4906278ecf16,completed
aceb3329-7e0b-4643-9781-e2db98dfb946,completed
ed7b435e-ffa8-4d45-b71e-687b247ddb5c,completed
72d2d1da-1a7b-431a-98d6-4454b9011057,completed
9b6fc9f6-f384-4dae-99e9-f7b88da14d84,completed
5b62ee5b-1c26-4e13-9b3c-d0cbb9433bea,completed
fec66c2d-7049-4968-9e9c-e3cd8810ca45,completed
ff1ae318-f420-404a-8efe-abdcffb091e6,completed
38cbef8d-202a-41af-9763-a552b22fa134,completed
8d86e97a-3d4e-4132-95e1-435225d47f28,completed
c1e2d5a6-288a-479f-977d-531ca5b52933,completed
cf9d9a4e-84d5-4896-a9b3-b37729a63c1a,in-progress
5fcfd4aa-c394-481c-99fd-cca33439f067,completed
72c8b929-4bdb-4f59-85e3-b3f2e6bd5b23,completed
3d6cfb68-d6ce-4049-bde2-4d17333b226c,completed
61e40657-3b12-4b8a-8ec9-2c810aa65bf4,completed
66de4ef3-ce9a-4641-a3c8-0f537bd7aa6f,completed
82b3f28c-0c82-4608-a4cc-c7172942e030,completed
b74b3af0-0e54-4f43-bc3a-229ec165e759,completed
354080cc-91de-49d2-88d2-84f5a90d9ff6,completed
86385de0-b812-4066-bc35-69396ccddd13,completed
49d51258-c6e1-4c52-b9e8-c26dafcf3e34,completed
1700aabc-04af-4ef1-97b1-f332345b98db,completed
4668f22c-101d-4664-b032-8f48728b3d9c,completed
b8afce3e-d9b7-4dd7-a2fe-6db06fe2b78d,completed
